                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.5457,3.4336,1.0045,0.4612,0.36313,0.36049,0.1987,1.3788,3.0089,0.95067,0.0026733,0.0026733,0.0026733
46,1.5491,3.4337,1.0011,0.45739,0.36916,0.36326,0.20248,1.3687,3.012,0.95163,0.0026659,0.0026659,0.0026659
47,1.5409,3.419,0.9993,0.4681,0.36686,0.36412,0.20159,1.3774,2.999,0.94922,0.0026585,0.0026585,0.0026585
48,1.5416,3.3911,0.99629,0.45512,0.37254,0.36363,0.20195,1.4009,3.006,0.95281,0.002651,0.002651,0.002651
49,1.5372,3.3934,0.99644,0.47073,0.37118,0.37132,0.20517,1.3948,2.984,0.95159,0.0026436,0.0026436,0.0026436
50,1.5314,3.368,0.99497,0.45828,0.37076,0.36726,0.20289,1.3979,2.9819,0.95263,0.0026362,0.0026362,0.0026362
51,1.5348,3.3623,0.99582,0.46657,0.35682,0.36193,0.20292,1.3832,3.017,0.94836,0.0026288,0.0026288,0.0026288
52,1.5352,3.3805,0.99456,0.46666,0.37585,0.37573,0.20598,1.4046,2.9717,0.95225,0.0026213,0.0026213,0.0026213
53,1.531,3.3648,0.99372,0.46427,0.3728,0.36991,0.20615,1.3636,2.9681,0.94678,0.0026139,0.0026139,0.0026139
54,1.531,3.3573,0.99324,0.47298,0.37136,0.37305,0.2043,1.4,2.9692,0.95388,0.0026065,0.0026065,0.0026065
55,1.5264,3.3493,0.9914,0.47829,0.37083,0.37463,0.20654,1.3945,2.9535,0.9507,0.002599,0.002599,0.002599
56,1.5258,3.3273,0.9952,0.46867,0.3804,0.38129,0.2117,1.3632,2.9268,0.9457,0.0025916,0.0025916,0.0025916
57,1.5228,3.3296,0.99045,0.46162,0.37751,0.37586,0.20832,1.3857,2.9546,0.94886,0.0025842,0.0025842,0.0025842
58,1.5216,3.3141,0.99173,0.44928,0.37493,0.36865,0.20552,1.367,2.9618,0.94682,0.0025768,0.0025768,0.0025768
59,1.5183,3.3152,0.9917,0.4664,0.3736,0.37276,0.20879,1.3563,2.9391,0.94388,0.0025693,0.0025693,0.0025693
60,1.5067,3.3054,0.99145,0.48359,0.37364,0.37764,0.20959,1.3657,2.9398,0.94598,0.0025619,0.0025619,0.0025619
61,1.5162,3.3092,0.99013,0.47174,0.37604,0.376,0.21037,1.3606,2.9352,0.94343,0.0025545,0.0025545,0.0025545
62,1.5181,3.3014,0.9882,0.46132,0.37977,0.37664,0.20945,1.3617,2.926,0.94368,0.0025471,0.0025471,0.0025471
63,1.5065,3.2778,0.98816,0.47132,0.37339,0.37541,0.21049,1.359,2.9208,0.94461,0.0025397,0.0025397,0.0025397
